E_eV,Sig_b
1e-05,975.579
1.03125e-05,960.711
1.0625e-05,946.504
1.09375e-05,932.91
1.125e-05,919.888
1.15625e-05,907.397
1.1875e-05,895.403
1.21875e-05,883.873
1.25e-05,872.779
1.28125e-05,862.094
1.3125e-05,851.793
1.34375e-05,841.853
1.375e-05,832.255
1.4375e-05,814.007
1.5e-05,796.912
1.5625e-05,780.854
1.625e-05,765.733
1.6875e-05,751.461
1.75e-05,737.961
1.8125e-05,725.165
1.875e-05,713.016
1.9375e-05,701.46
2e-05,690.451
2.09375e-05,674.872
2.1875e-05,660.306
2.28125e-05,646.649
2.375e-05,633.809
2.46875e-05,621.709
2.5625e-05,610.281
2.65625e-05,599.463
2.75e-05,589.204
2.84375e-05,579.458
2.9375e-05,570.182
3.03125e-05,561.341
3.125e-05,552.902
3.21875e-05,544.834
3.3125e-05,537.112
3.40625e-05,529.712
3.5e-05,522.611
3.59375e-05,515.791
3.6875e-05,509.233
3.78125e-05,502.92
3.875e-05,496.839
3.96875e-05,490.975
4.0625e-05,485.315
4.25e-05,474.564
4.4375e-05,464.504
4.625e-05,455.062
4.8125e-05,446.179
5e-05,437.802
5.15625e-05,431.174
5.3125e-05,424.841
5.46875e-05,418.782
5.625e-05,412.978
5.78125e-05,407.411
5.9375e-05,402.066
6.09375e-05,396.929
6.25e-05,391.986
6.40625e-05,387.225
6.5625e-05,382.636
6.71875e-05,378.208
6.875e-05,373.933
7.1875e-05,365.806
7.5e-05,358.193
7.8125e-05,351.044
8.125e-05,344.312
8.4375e-05,337.959
8.75e-05,331.95
9.0625e-05,326.256
9.375e-05,320.851
9.6875e-05,315.709
0.0001,310.812
0.000103125,306.14
0.00010625,301.676
0.000109375,297.405
0.0001125,293.315
0.000115625,289.392
0.00011875,285.625
0.000121875,282.005
0.000125,278.522
0.000128125,275.168
0.00013125,271.934
0.000134375,268.815
0.0001375,265.803
0.00014375,260.078
0.00015,254.716
0.00015625,249.68
0.0001625,244.939
0.00016875,240.464
0.000175,236.233
0.00018125,232.224
0.0001875,228.417
0.00019375,224.798
0.0002,221.35
0.000209375,216.471
0.00021875,211.911
0.000228125,207.637
0.0002375,203.619
0.000246875,199.834
0.00025625,196.259
0.000265625,192.876
0.000275,189.668
0.000284375,186.621
0.00029375,183.722
0.000303125,180.959
0.0003125,178.321
0.000321875,175.801
0.00033125,173.388
0.000340625,171.077
0.00035,168.859
0.000359375,166.729
0.00036875,164.681
0.000378125,162.71
0.0003875,160.812
0.000396875,158.981
0.00040625,157.214
0.000425,153.859
0.00044375,150.719
0.0004625,147.774
0.00048125,145.002
0.0005,142.389
0.000515625,140.322
0.00053125,138.347
0.000546875,136.457
0.0005625,134.647
0.000578125,132.911
0.00059375,131.245
0.000609375,129.643
