E_eV,Sig_b
1e-05,1073.99
1.03125e-05,1057.6
1.0625e-05,1041.94
1.09375e-05,1026.96
1.125e-05,1012.61
1.15625e-05,998.837
1.1875e-05,985.615
1.21875e-05,972.905
1.25e-05,960.675
1.28125e-05,948.896
1.3125e-05,937.539
1.34375e-05,926.582
1.375e-05,916
1.4375e-05,895.881
1.5e-05,877.033
1.5625e-05,859.328
1.625e-05,842.655
1.6875e-05,826.918
1.75e-05,812.031
1.8125e-05,797.921
1.875e-05,784.523
1.9375e-05,771.779
2e-05,759.637
2.09375e-05,742.455
2.1875e-05,726.39
2.28125e-05,711.325
2.375e-05,697.163
2.46875e-05,683.815
2.5625e-05,671.206
2.65625e-05,659.272
2.75e-05,647.954
2.84375e-05,637.2
2.9375e-05,626.965
3.03125e-05,617.209
3.125e-05,607.896
3.21875e-05,598.993
3.3125e-05,590.471
3.40625e-05,582.303
3.5e-05,574.466
3.59375e-05,566.938
3.6875e-05,559.699
3.78125e-05,552.731
3.875e-05,546.018
3.96875e-05,539.544
4.0625e-05,533.295
4.25e-05,521.425
4.4375e-05,510.316
4.625e-05,499.889
4.8125e-05,490.079
5e-05,480.826
5.15625e-05,473.505
5.3125e-05,466.509
5.46875e-05,459.815
5.625e-05,453.402
5.78125e-05,447.252
5.9375e-05,441.346
6.09375e-05,435.669
6.25e-05,430.206
6.40625e-05,424.945
6.5625e-05,419.873
6.71875e-05,414.979
6.875e-05,410.253
7.1875e-05,401.268
7.5e-05,392.851
7.8125e-05,384.945
8.125e-05,377.5
8.4375e-05,370.473
8.75e-05,363.827
9.0625e-05,357.527
9.375e-05,351.546
9.6875e-05,345.857
0.0001,340.437
0.000103125,335.266
0.00010625,330.325
0.000109375,325.597
0.0001125,321.069
0.000115625,316.725
0.00011875,312.554
0.000121875,308.545
0.000125,304.687
0.000128125,300.972
0.00013125,297.39
0.000134375,293.935
0.0001375,290.598
0.00014375,284.254
0.00015,278.311
0.00015625,272.729
0.0001625,267.473
0.00016875,262.512
0.000175,257.821
0.00018125,253.374
0.0001875,249.152
0.00019375,245.136
0.0002,241.311
0.000209375,235.898
0.00021875,230.837
0.000228125,226.092
0.0002375,221.632
