E_eV,Sig_b
1e-05,120.8
1.03125e-05,118.977
1.0625e-05,117.236
1.09375e-05,115.57
1.125e-05,113.974
1.15625e-05,112.443
1.1875e-05,110.973
1.21875e-05,109.561
1.25e-05,108.202
1.28125e-05,106.894
1.3125e-05,105.632
1.34375e-05,104.416
1.375e-05,103.241
1.4375e-05,101.008
1.5e-05,98.9161
1.5625e-05,96.9522
1.625e-05,95.1034
1.6875e-05,93.3588
1.75e-05,91.7092
1.8125e-05,90.1462
1.875e-05,88.6625
1.9375e-05,87.2517
2e-05,85.9081
2.09375e-05,84.0074
2.1875e-05,82.2312
2.28125e-05,80.5665
2.375e-05,79.0022
2.46875e-05,77.5287
2.5625e-05,76.1375
2.65625e-05,74.8213
2.75e-05,73.5737
2.84375e-05,72.3889
2.9375e-05,71.2619
3.03125e-05,70.1881
3.125e-05,69.1636
3.21875e-05,68.1846
3.3125e-05,67.248
3.40625e-05,66.3508
3.5e-05,65.4904
3.59375e-05,64.6643
3.6875e-05,63.8703
3.78125e-05,63.1064
3.875e-05,62.3707
3.96875e-05,61.6617
4.0625e-05,60.9777
4.25e-05,59.6792
4.4375e-05,58.4651
4.625e-05,57.3269
4.8125e-05,56.2568
5e-05,55.2486
5.15625e-05,54.4515
5.3125e-05,53.6905
5.46875e-05,52.9629
5.625e-05,52.2665
5.78125e-05,51.599
5.9375e-05,50.9586
6.09375e-05,50.3435
6.25e-05,49.7521
6.40625e-05,49.183
6.5625e-05,48.6347
6.71875e-05,48.1061
6.875e-05,47.5961
7.1875e-05,46.6275
7.5e-05,45.7217
7.8125e-05,44.8721
8.125e-05,44.0733
8.4375e-05,43.3205
8.75e-05,42.6095
9.0625e-05,41.9367
9.375e-05,41.2989
9.6875e-05,40.6931
0.0001,40.1168
0.000103125,39.5678
0.00010625,39.044
0.000109375,38.5436
0.0001125,38.0649
0.000115625,37.6065
0.00011875,37.1669
0.000121875,36.745
0.000125,36.3397
0.000128125,35.9498
0.00013125,35.5745
0.000134375,35.213
0.0001375,34.8643
0.00014375,34.2029
0.00015,33.585
0.00015625,33.0062
0.0001625,32.4628
0.00016875,31.9512
0.000175,31.4687
0.00018125,31.0126
0.0001875,30.5807
0.00019375,30.171
0.0002,29.7817
0.000209375,29.2326
0.00021875,28.7213
0.000228125,28.2436
0.0002375,27.7962
0.000246875,27.3762
0.00025625,26.9809
0.000265625,26.6081
0.000275,26.2558
0.000284375,25.9223
0.00029375,25.6059
0.000303125,25.3055
0.0003125,25.0196
0.000321875,24.7472
0.00033125,24.4874
0.000340625,24.2391
0.00035,24.0017
0.000359375,23.7744
0.00036875,23.5565
0.000378125,23.3473
0.0003875,23.1465
0.000396875,22.9534
0.00040625,22.7675
0.000425,22.416
0.00044375,22.0889
0.0004625,21.7836
0.00048125,21.4979
0.0005,21.2298
0.000515625,21.0187
0.00053125,20.8178
0.000546875,20.6263
0.0005625,20.4436
0.000578125,20.2691
0.00059375,20.1022
0.000609375,19.9423
0.000625,19.789
0.000640625,19.6419
0.00065625,19.5006
0.000671875,19.3647
0.0006875,19.2339
0.00071875,18.9865
0.00075,18.7561
0.00078125,18.5411
0.0008125,18.3398
0.00084375,18.1508
0.000875,17.973
0.00090625,17.8054
0.0009375,17.6471
0.00096875,17.4972
0.001,17.3551
0.00103125,17.2201
0.0010625,17.0916
0.00109375,16.9693
0.001125,16.8525
0.00115625,16.7409
0.0011875,16.6342
0.00121875,16.532
0.00125,16.4341
0.00128125,16.34
0.0013125,16.2496
0.00134375,16.1627
0.001375,16.0791
0.0014375,15.9208
0.0015,15.7733
0.0015625,15.6356
0.001625,15.5065
0.0016875,15.3853
0.00175,15.2712
0.0018125,15.1635
0.001875,15.0617
0.0019375,14.9653
0.002,14.8738
0.00209375,14.7449
0.0021875,14.625
0.00228125,14.5132
0.002375,14.4085
